Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_025;2019;BRAZIL;2.462,62;22.233,64;87.351,68;212.784,57;67.722,39;195.050,87;17.733,70;11.024,14;9,39;4,09;5,34;20,44;1,76;10,45;8,33;3,16;15,04;12;BB
Id_026;2019;BRAZIL;4.711,72;109.361,46;112.389,69;337.246,99;91.363,39;303.889,75;33.357,24;15.845,84;9,52;2,52;4,83;17,30;1,71;32,43;9,89;4,35;16,50;12;BB
Id_027;2019;BRAZIL;6.387,11;146.338,35;87.065,63;364.237,04;111.384,08;339.424,60;24.812,44;12.258,38;9,17;3,44;3,40;21,37;1,51;40,18;6,81;2,93;15,80;12;BB
Id_028;2019;BRAZIL;3.240,12;74.326,07;172.135,73;321.144,96;129.986,92;301.132,11;20.012,85;12.797,40;8,99;1,12;4,03;25,04;1,63;23,14;6,23;3,56;18,96;13;BB-
Id_029;2019;BRAZIL;824,37;8.002,08;3.388,25;22.870,87;5.097,54;20.510,76;2.360,12;612,62;2,19;0,73;2,96;16,74;1,87;34,99;10,32;2,42;17,14;12;BB
Id_030;2019;BRAZIL;7.535,05;140.722,31;144.665,64;431.431,73;125.818,22;395.986,45;35.445,27;16.721,42;8,35;3,55;3,98;19,28;1,59;32,62;8,22;3,39;15,80;13;BB-
Id_032;2019;CHILE;4.773,60;5.633,23;43.937,69;67.924,91;34.930,66;63.264,39;4.660,52;1.902,78;2,05;1,29;2,80;16,48;1,22;8,29;6,86;1,80;12,86;5;A+
Id_033;2019;CHILE;1.355,97;2.087,73;31.155,97;45.373,06;25.704,91;40.752,74;4.620,32;1.137,11;2,82;1,39;2,51;3,67;0,41;4,60;10,18;2,29;13,14;7;A-
Id_034;2019;CHILE;3.212,60;8.233,67;40.315,15;55.428,72;31.890,13;50.690,43;4.738,29;1.839,03;1,39;1,16;3,32;17,38;1,53;14,85;8,55;2,35;14,14;5;A+
Id_035;2019;CHILE;4.235,40;8.501,35;45.500,76;67.600,41;41.679,94;62.507,19;5.093,23;1.774,72;1,36;1,23;2,63;11,01;0,87;12,58;7,53;2,07;11,99;6;A
Id_036;2019;CHILE;781,26;1.699,40;8.364,87;11.541,31;7.693,81;10.734,04;807,27;215,52;0,34;0,42;1,87;11,93;0,86;14,72;6,99;1,50;12,59;8;BBB+
Id_037;2019;CHILE;930,79;1.299,91;8.126,62;11.099,31;5.757,35;10.270,27;829,05;245,00;1,55;0,69;2,21;12,89;1,02;11,71;7,47;1,95;12,31;9;BBB
Id_038;2019;CHILE;1.859,69;3.627,42;34.040,40;46.538,49;25.872,75;43.659,28;2.879,21;1.160,76;1,90;1,09;2,49;12,86;0,85;7,79;6,19;1,98;10,86;6;A
Id_039;2019;CHILE;280,26;537,70;4.664,60;7.731,29;4.554,99;7.034,79;696,50;126,00;1,91;0,78;1,63;12,26;1,25;6,95;9,01;1,01;15,16;9;BBB
Id_040;2019;COLOMBIA;7.531,49;9.241,51;35.361,85;53.132,05;35.759,94;46.495,84;6.636,21;2.275,53;5,23;2,25;4,43;15,05;1,84;17,39;12,49;4,26;12,85;10;BBB-
Id_041;2019;COLOMBIA;1.561,39;3.356,20;15.255,45;19.955,29;14.520,52;18.373,07;1.582,22;951,50;5,42;1,97;4,87;15,09;1,14;16,82;7,93;2,61;11,53;8;BBB+
Id_042;2019;COLOMBIA;5.542,11;9.753,04;55.336,96;71.671,08;48.138,01;62.926,34;8.744,74;3.425,90;6,86;1,90;4,95;11,66;1,40;13,61;12,20;3,59;12,82;10;BBB-
Id_043;2019;COLOMBIA;367,12;747,01;6.498,96;8.946,01;5.291,63;7.837,56;1.108,45;298,51;4,97;1,47;3,21;4,30;0,50;8,35;12,39;3,61;14,08;10;BBB-
Id_044;2019;COLOMBIA;841,93;1.515,64;9.384,03;12.925,64;8.720,69;11.447,50;1.478,14;575,08;6,23;2,42;4,65;12,26;1,40;11,73;11,44;4,03;11,77;9;BBB
Id_045;2019;COLOMBIA;2.958,12;4.433,78;29.568,32;37.103,87;23.525,15;33.802,07;3.301,80;2.038,92;3,70;2,63;5,77;13,65;1,27;11,95;10,35;3,20;11,61;10;BBB-
